id,kh_question_1,kh_question_2,kh_answers,kh_correct_answer,level,en_question_1,en_question_2,en_answers,en_correct_answer
1,តើមានផ្កាយចំនួនប៉ុន្មាន?,******,"6, 7, 4, 9",6,1,How many stars?,******,"6, 7, 4, 9",6
2,តើមានផ្កាយចំនួនប៉ុន្មាន?,*********,"10, 9, 5, 7",9,1,How many stars?,*********,"10, 9, 5, 7",9
3,តើមានផ្កាយចំនួនប៉ុន្មាន?,**********   **********   **********   **********,"45, 30, 40, 50",40,1,How many stars?,**********   **********   **********   **********,"45, 30, 40, 50",40
4,តើមានផ្កាយចំនួនប៉ុន្មាន?,********,"8, 5, 7, 11",8,1,How many stars?,********,"8, 5, 7, 11",8
5,តើមានបន្ទាត់ចំនួនប៉ុន្មាន?,| | | | | | | | | |     | | | | | | | | | |     | | | | | | | | | |     | |,"30, 32, 25, 41",32,1,How many lines?,| | | | | | | | | |     | | | | | | | | | |     | | | | | | | | | |     | |,"30, 32, 25, 41",32
6,តើមានបន្ទាត់ចំនួនប៉ុន្មាន?,| | | |,"3, 6, 8, 4",4,1,How many lines?,| | | |,"3, 6, 8, 4",4
7,តើមានបន្ទាត់ចំនួនប៉ុន្មាន?,| | | | | | |,"3, 6, 8, 7",7,1,How many lines?,| | | | | | |,"3, 6, 8, 7",7
8,តើមានបន្ទាត់ចំនួនប៉ុន្មាន?,| | | | | | | | |,"6, 9 ,7, 12",9,1,How many lines?,| | | | | | | | |,"6, 9 ,7, 12",9
9,តើមានបន្ទាត់ចំនួនប៉ុន្មាន?,| | | | | | | | | |     | | | | | | | | | |     | | | |,"22, 26, 24, 28",24,1,How many lines?,| | | | | | | | | |     | | | | | | | | | |     | | | |,"22, 26, 24, 28",24
10,តើមានរង្វង់ចំនួនប៉ុន្មាន?,o o o o o o o o o o     o o o,"10, 12, 13, 15",13,1,How many circles?,o o o o o o o o o o     o o o,"10, 12, 13, 15",13
11,តើមានរង្វង់ចំនួនប៉ុន្មាន?,o o o o o o o o o o     o o o o o o o o o o     o o o o o o o o o o     o o o o o o o o o o     o o o o o o o o o o,"48, 50, 60, 55",50,1,How many circles?,o o o o o o o o o o     o o o o o o o o o o     o o o o o o o o o o     o o o o o o o o o o     o o o o o o o o o o,"48, 50, 60, 55",50
12,តើមានរង្វង់ចំនួនប៉ុន្មាន?,o o o o o o o o o o     o o o o,"12, 13,1 4, 15",14,1,How many circles?,o o o o o o o o o o     o o o o,"12, 13,1 4, 15",14
13,តើមានរង្វង់ចំនួនប៉ុន្មាន?,o o o o o o o o o o     o o o o o o o,"14, 16, 17, 19",17,1,How many circles?,o o o o o o o o o o     o o o o o o o,"14, 16, 17, 19",17
14,តើមានរង្វង់ចំនួនប៉ុន្មាន?,o o o o o o o o o o     o o o o o o o o o ,"20, 18, 17, 19",19,1,How many circles?,o o o o o o o o o o     o o o o o o o o o ,"20, 18, 17, 19",19
15,តើមានរង្វង់ចំនួនប៉ុន្មាន?,o o o o o o o o o o     o o | | |,"12, 14, 15, 11",12,1,How many circles?,o o o o o o o o o o     o o | | |,"12, 14, 15, 11",12
16,តើមានរង្វង់ចំនួនប៉ុន្មាន?,o o o o o o o o | | | | |,"8, 12, 13, 10",8,1,How many circles?,o o o o o o o o | | | | |,"8, 12, 13, 10",8
17,តើមានរង្វង់ចំនួនប៉ុន្មាន?,o o o o o o o o o o    | | | | |,"10, 11, 15, 13",10,1,How many circles?,o o o o o o o o o o    | | | | |,"10, 11, 15, 13",10
18,តើមានរង្វង់ចំនួនប៉ុន្មាន?,o o o | | | o o o | | | o o o,"10, 9, 8, 15",9,1,How many circles?,o o o | | | o o o | | | o o o,"10, 9, 8, 15",9
19,តើមានរង្វង់ចំនួនប៉ុន្មាន?,o o o | | | o o o | | | o o | | o,"11, 9, 8, 17",9,1,How many circles?,o o o | | | o o o | | | o o | | o,"11, 9, 8, 17",9
20,តើមានរង្វង់ចំនួនប៉ុន្មាន?,o o o o o | | | | | o o o o,"11, 9, 8, 17",9,1,How many circles?,o o o o o | | | | | o o o o,"11, 9, 8, 17",9
21,តើមានលេខចំនួនប៉ុន្មាន?,12345678,"8, 7, 6, 9",8,1,How many numbers?,12345678,"8, 7, 6, 9",8
22,តើមានលេខចំនួនប៉ុន្មាន?,22222,"2, 5, 6, 10",5,1,How many numbers?,22222,"2, 5, 6, 10",5
23,តើមានលេខចំនួនប៉ុន្មាន?,849584615,"9, 6, 5, 10",9,1,How many numbers?,849584615,"9, 6, 5, 10",9
24,តើមានលេខចំនួនប៉ុន្មាន?,1111111,"8, 7, 9, 6",7,1,How many numbers?,1111111,"8, 7, 9, 6",7
25,តើមានតួអក្សរចំនួនប៉ុន្មាន?,ABCUYD,"6, 5, 4, 8",6,1,How many letters?,ABCUYD,"6, 5, 4, 8",6
26,តើមានតួអក្សរចំនួនប៉ុន្មាន?,PIOAA AADDU,"9, 10, 11, 7",10,1,How many letters?,PIOAA AADDU,"9, 10, 11, 7",10
27,តើមានតួអក្សរចំនួនប៉ុន្មាន?,UID JKF YYU,"7, 9, 11, 10",9,1,How many letters?,UID JKF YYU,"7, 9, 11, 10",9
28,តើមានតួអក្សរចំនួនប៉ុន្មាន?,123 PAB 993 TRR,"6, 10, 12, 8",6,1,How many letters?,123 PAB 993 TRR,"6, 10, 12, 8",6
29,តើមានតួអក្សរចំនួនប៉ុន្មាន?,PLKJ BNMA YT,"9. 10, 11, 14",10,1,How many letters?,PLKJ BNMA YT,"9, 10, 11, 14",10
30,តើមានតួអក្សរចំនួនប៉ុន្មាន?,UDJA LAKD QUEPT,"12, 13, 14, 9",13,1,How many letters?,UDJA LAKD QUEPT,"12, 13, 14, 9",13
31,តើលេខមួយណាជាលេខសែសិប?,,"20, 30, 40, 45",40,2,Which number is forty?,,"20, 30, 40, 45",40
32,តើលេខមួយណាជាលេខដប់ពីរ?,,"10, 12, 16, 20",12,2,Which number is twelve?,,"10, 12, 16, 20",12
33,តើលេខមួយណាជាលេខចិតសិបប្រាំពីរ?,,"17, 70, 77, 71",77,2,Which number is seventy seven?,,"17, 70, 77, 71",77
34,តើលេខមួយណាជាលេខបី?,,"4, 6, 3, 2",3,2,Which number is three?,,"4, 6, 3, 2",3
35,តើលេខមួយណាជាលេខដប់បួន?,,"16, 12, 14, 19",14,2,Which number is fourteen?,,"16, 12, 14, 19",14
36,តើលេខមួយណាជាលេខប្រាំរយ?,,"300, 500, 400, 550",500,2,Which number is five hundred?,,"300, 500, 400, 550",500
37,តើលេខមួយណាជាលេខបីរយម្ភៃ?,,"230, 320, 300, 330",320,2,Which number is three hundred and twenty?,,"230, 320, 300, 330",320
38,តើលេខមួយណាជាលេខប្រាំបីរយហាប្រាំបួន?,,"800, 850, 859, 895",859,2,Which number is eight hundred and fifty nine?,,"800, 850, 859, 895",859
